  Measurement Number     Measurement type
                  16            NewRelaib

      Measurement ID                 Mode
       739694.776394                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3             0.000101                  3.5             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 500                10000                    1

      Step        LRS        HRS
      1661  2529.1116 17684.9682
      1681  2903.9865 22438.7147
      1701  2910.5802 28783.2545
      1721  2570.3224 24342.5867
      1741   3338.457 20917.2952
      1761  3885.3452 26166.7094
      1781  3523.7503  22363.767
      1801  4295.3885 51282.8256
      1821  4477.0291 26957.5439
      1841  4577.9064 19272.6707
      1861  5274.0156 26182.6435
      1881  2795.2387  30083.037
      1901  2895.2106 23788.1404
      1921  2874.0624 41450.4788
      1941  3240.9268 40509.9113
      1961  2160.9358 130478.6154
      1981  3549.2316 16185.8482
      2001  3808.8533  24319.695
      2021  3705.8982 22471.3541
      2041  4009.0866 30351.6829
      2061  4111.2397 21920.0795
      2081  2276.2658 21753.4618
      2101  3970.4903 49708.4751
      2121  2239.5977 34138.6755
      2141  4554.5829 27553.8576
      2161  4537.0091 25117.3301
      2181  4935.8189  35478.945
      2201  5079.4797 42745.8238
      2221  4988.0989 25748.9011
      2241  4733.6728 21126.5659
      2261  4737.7512 20429.6963
      2281  4021.1254 30191.7096
      2301  3878.3655  23253.386
      2321  3865.5104 28244.7213
      2341  4051.4739 24241.2258
      2361  4572.0472 32299.9133
      2381  4061.2577 22759.8416
      2401  3521.2123 33917.3951
      2421  3914.8051 22962.6719
      2441  3824.4417 53133.6323
      2461  4416.1486 39769.5491
      2481  4031.0223 33753.4681
      2501  4451.4248 56160.5264
      2521  4414.8973 22672.5072
      2541  4316.4923 30916.2159
      2561   4261.561 32484.5524
      2581  4389.0088 20452.4105
      2601   3775.477 18959.4616
      2621  4362.6912 20060.0366
      2641  4196.7914 28681.0096
      2661  4257.8644   30422.06
      2681  4038.3436 57197.4507
      2701  4904.4467 30042.0105
      2721  4635.9846 11891.3352
      2741  4642.6489 27723.1701
      2761  4602.1167 34730.0453
      2781  3650.9322 33471.7119
      2801  4975.6294 29556.3351
      2821  4720.4925 20778.5772
      2841  5679.3209 30375.9681
      2861  5093.8205  28555.476
      2881  4862.1694 26954.2865
      2901   5800.751  30882.239
      2921  4582.1149 30225.7203
      2941  5354.8453 28363.2471
      2961  4264.9375 23034.8516
      2981   4173.493 29413.5825
      3001  4135.9542 30654.1079
      3021  4032.1246 24194.5517
      3041  4688.7381 32096.8512
      3061  4962.4286 36952.8404
      3081  5557.2227 38279.0835
      3101  7412.5501 26941.4669
      3121  4235.3724  29450.478
      3141  5542.2834 27532.6007
      3161  5568.3649 20939.1409
      3181  5380.9082 22615.4665
      3201  4152.6206 24007.0528
      3221  4499.0017 26026.0678
      3241  5743.7261  16797.931
      3261  5685.0659 22885.3626
      3281  5595.4916 24232.8308
      3301  6337.6322 17024.5513
      3321  6332.0992 26732.5897
      3341  6299.1612 34926.8478
      3361  6609.3538 25680.8993
      3381  4618.4117 26707.1818
      3401  6470.0664 20400.1498
      3421  4676.9894 18028.2118
      3441  4893.2299 30756.0823
      3461  6118.4183 25258.1247
      3481   3131.039 23434.1772
      3501  6516.8181  21354.878
      3521  3619.4214 21019.9227
      3541  4327.3373 22067.1432
      3561  4129.3977 22880.8135
      3581  5505.6704 20462.8472
      3601  6036.8711 22143.1358
      3621  6409.9734  32179.917
      3641   5403.812 32274.7914
      3661  5657.7208 27998.0902
      3681  5850.7548 20357.4412
      3701  5781.8328 22173.1276
      3721   7792.851 27477.9055
      3741  6333.7625 19125.3859
