Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,-0.200,-0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,-0.200,-0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,1.0

Time,Voltage,Current
2.255e-06,-0.199679,0.000101834
2.265e-06,-0.203999,0.000101716
2.275e-06,-0.201119,0.000101583
2.285e-06,-0.203279,0.00010166
2.295e-06,-0.203279,0.000101736
2.305e-06,-0.198958,0.000101792
2.315e-06,-0.203999,0.00010175
2.325e-06,-0.202559,0.000101757
2.335e-06,-0.199679,0.000101834
2.345e-06,-0.203999,0.000101931
2.355e-06,-0.204719,0.000102001
2.365e-06,-0.201839,0.000102008
2.375e-06,-0.203279,0.000102077
2.385e-06,-0.202559,0.000102258
2.395e-06,-0.203279,0.000102536
2.405e-06,-0.204719,0.000102654
2.415e-06,-0.201119,0.000102529
2.425e-06,-0.201839,0.0001023
2.435e-06,-0.205439,0.000102244
2.445e-06,-0.204719,0.000102237
2.455e-06,-0.203999,0.000102216
2.465e-06,-0.203279,0.000102112
2.475e-06,-0.201119,0.000102036
2.485e-06,-0.203999,0.000101903
2.495e-06,-0.201119,0.000101778
2.505e-06,-0.203279,0.000101674
2.515e-06,-0.201839,0.000101674
2.525e-06,-0.199679,0.000101507
2.535e-06,-0.202559,0.000101333
2.545e-06,-0.202559,0.000101298
2.555e-06,-0.205439,0.000101319
2.565e-06,-0.202559,0.000101243
2.575e-06,-0.201119,0.000101104
2.585e-06,-0.203279,0.000100874
2.595e-06,-0.202559,0.000100784
2.605e-06,-0.203999,0.000100728
2.615e-06,-0.201839,0.000100756
2.625e-06,-0.201839,0.000100721
2.635e-06,-0.204719,0.000100707
2.645e-06,-0.203279,0.000100721
2.655e-06,-0.201839,0.000100825
2.665e-06,-0.200399,0.000100909
2.675e-06,-0.203999,0.000100992
2.685e-06,-0.202559,0.000101041
2.695e-06,-0.203279,0.000101124
2.705e-06,-0.208319,0.000101236
2.715e-06,-0.205439,0.000101361
2.725e-06,-0.203279,0.000101563
2.735e-06,-0.200399,0.000101757
2.745e-06,-0.202559,0.000101862
2.755e-06,-0.203279,0.000101862
2.765e-06,-0.201119,0.000101848
2.775e-06,-0.204719,0.000101889
2.785e-06,-0.203999,0.000101869
2.795e-06,-0.204719,0.000101806
2.805e-06,-0.204719,0.000101799
2.815e-06,-0.203279,0.000101869
2.825e-06,-0.203279,0.00010182
2.835e-06,-0.202559,0.000101799
2.845e-06,-0.201839,0.000101757
2.855e-06,-0.203999,0.000101597
2.865e-06,-0.202559,0.000101521
2.875e-06,-0.201119,0.000101479
2.885e-06,-0.203279,0.00010141
2.895e-06,-0.206879,0.00010141
2.905e-06,-0.201119,0.000101424
2.915e-06,-0.202559,0.000101437
2.925e-06,-0.203279,0.00010141
2.935e-06,-0.201839,0.000101396
2.945e-06,-0.202559,0.000101312
2.955e-06,-0.201119,0.000101312
2.965e-06,-0.203999,0.000101236
2.975e-06,-0.202559,0.000101111
2.985e-06,-0.199679,0.000101034
2.995e-06,-0.202559,0.000101145
3.005e-06,-0.204719,0.000101222
3.015e-06,-0.201119,0.000101257
3.025e-06,-0.205439,0.000101333
3.035e-06,-0.203999,0.000101465
3.045e-06,-0.203279,0.000101632
3.055e-06,-0.203279,0.00010166
3.065e-06,-0.203279,0.000101757
3.075e-06,-0.203279,0.000101827
3.085e-06,-0.202559,0.000101924
3.095e-06,-0.205439,0.000101966
3.105e-06,-0.202559,0.000101931
3.115e-06,-0.205439,0.000101806
3.125e-06,-0.203999,0.00010173
3.135e-06,-0.203999,0.00010166
3.145e-06,-0.206159,0.000101563
3.155e-06,-0.203999,0.000101521
3.165e-06,-0.203279,0.000101583
