Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,0.200,0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,0.200,0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
5.0,5.0,1.0

Time,Voltage,Current
3.765e-06,0.20211,-1.35561e-06
3.775e-06,0.20355,-1.29998e-06
3.785e-06,0.20355,-1.29302e-06
3.795e-06,0.20211,-1.30693e-06
3.805e-06,0.20427,-1.37648e-06
3.815e-06,0.20139,-1.30693e-06
3.825e-06,0.20355,-1.30693e-06
3.835e-06,0.19851,-1.24434e-06
3.845e-06,0.20211,-1.28607e-06
3.855e-06,0.20283,-1.35561e-06
3.865e-06,0.20283,-1.38343e-06
3.875e-06,0.20427,-1.45993e-06
3.885e-06,0.20283,-1.47384e-06
3.895e-06,0.20067,-1.42516e-06
3.905e-06,0.20211,-1.39734e-06
3.915e-06,0.20427,-1.39734e-06
3.925e-06,0.20283,-1.39734e-06
3.935e-06,0.20499,-1.40429e-06
3.945e-06,0.20139,-1.2652e-06
3.955e-06,0.20643,-1.2513e-06
3.965e-06,0.20211,-1.22348e-06
3.975e-06,0.20139,-1.24434e-06
3.985e-06,0.20355,-1.22348e-06
3.995e-06,0.20427,-1.27911e-06
4.005e-06,0.20427,-1.34866e-06
4.015e-06,0.20283,-1.3417e-06
4.025e-06,0.20355,-1.28607e-06
4.035e-06,0.20355,-1.20262e-06
4.045e-06,0.20643,-1.14698e-06
4.055e-06,0.20427,-1.13307e-06
4.065e-06,0.19923,-1.11221e-06
4.075e-06,0.20067,-1.14698e-06
4.085e-06,0.20499,-1.12612e-06
4.095e-06,0.20355,-1.18871e-06
4.105e-06,0.20283,-1.24434e-06
4.115e-06,0.20283,-1.29998e-06
4.125e-06,0.20355,-1.29998e-06
4.135e-06,0.20283,-1.27911e-06
4.145e-06,0.20355,-1.18175e-06
4.155e-06,0.20427,-1.10525e-06
4.165e-06,0.20499,-1.08439e-06
4.175e-06,0.20283,-1.07048e-06
4.185e-06,0.20499,-1.0983e-06
4.195e-06,0.20499,-1.14003e-06
4.205e-06,0.20355,-1.07048e-06
4.215e-06,0.20355,-9.38348e-07
4.225e-06,0.20427,-8.27077e-07
4.235e-06,0.20139,-7.71442e-07
4.245e-06,0.20355,-8.20123e-07
4.255e-06,0.20283,-7.92305e-07
4.265e-06,0.20211,-7.29716e-07
4.275e-06,0.20427,-7.22761e-07
4.285e-06,0.20211,-6.7408e-07
4.295e-06,0.20643,-6.60172e-07
4.305e-06,0.20571,-7.01898e-07
4.315e-06,0.20355,-7.01898e-07
4.325e-06,0.20355,-6.32354e-07
4.335e-06,0.20283,-5.41947e-07
4.345e-06,0.20139,-5.48901e-07
4.355e-06,0.20427,-6.254e-07
4.365e-06,0.20067,-6.60172e-07
4.375e-06,0.19995,-5.76719e-07
4.385e-06,0.20499,-5.0022e-07
4.395e-06,0.20211,-5.48901e-07
4.405e-06,0.20499,-5.34992e-07
4.415e-06,0.20067,-5.83673e-07
4.425e-06,0.20499,-6.11491e-07
4.435e-06,0.20427,-6.67126e-07
4.445e-06,0.20283,-7.43624e-07
4.455e-06,0.20355,-8.20123e-07
4.465e-06,0.20427,-8.68804e-07
4.475e-06,0.20211,-9.24439e-07
4.485e-06,0.20211,-9.1053e-07
4.495e-06,0.20571,-7.78396e-07
4.505e-06,0.20211,-7.22761e-07
4.515e-06,0.20355,-6.94944e-07
4.525e-06,0.20499,-7.15807e-07
4.535e-06,0.20427,-7.3667e-07
4.545e-06,0.20211,-7.15807e-07
4.555e-06,0.20067,-6.60172e-07
4.565e-06,0.20355,-5.69764e-07
4.575e-06,0.20499,-5.69764e-07
4.585e-06,0.20283,-6.18445e-07
4.595e-06,0.20427,-6.67126e-07
4.605e-06,0.20499,-7.01898e-07
4.615e-06,0.20355,-7.57533e-07
4.625e-06,0.20211,-7.71442e-07
4.635e-06,0.20139,-7.71442e-07
4.645e-06,0.20355,-7.57533e-07
4.655e-06,0.20211,-7.92305e-07
4.665e-06,0.20571,-8.47941e-07
4.675e-06,0.20283,-9.45302e-07
4.685e-06,0.20211,-1.07048e-06
4.695e-06,0.20355,-1.0983e-06
4.705e-06,0.20499,-1.18871e-06
4.715e-06,0.20211,-1.27216e-06
4.725e-06,0.20427,-1.29998e-06
4.735e-06,0.20283,-1.3417e-06
4.745e-06,0.20283,-1.38343e-06
4.755e-06,0.20211,-1.4947e-06
4.765e-06,0.20499,-1.45297e-06
4.775e-06,0.20427,-1.37648e-06
4.785e-06,0.20355,-1.48079e-06
4.795e-06,0.20499,-1.56424e-06
4.805e-06,0.20427,-1.55034e-06
4.815e-06,0.20139,-1.54338e-06
4.825e-06,0.20067,-1.50861e-06
4.835e-06,0.20355,-1.4947e-06
4.845e-06,0.20571,-1.43211e-06
4.855e-06,0.20355,-1.40429e-06
4.865e-06,0.20355,-1.3417e-06
4.875e-06,0.20499,-1.40429e-06
4.885e-06,0.20427,-1.40429e-06
4.895e-06,0.20283,-1.42516e-06
4.905e-06,0.20211,-1.51556e-06
4.915e-06,0.20283,-1.4947e-06
4.925e-06,0.20067,-1.37648e-06
4.935e-06,0.20139,-1.30693e-06
4.945e-06,0.20427,-1.15393e-06
4.955e-06,0.20283,-1.05657e-06
4.965e-06,0.20211,-1.01485e-06
4.975e-06,0.20211,-9.93983e-07
4.985e-06,0.20211,-8.89667e-07
4.995e-06,0.20139,-8.13169e-07
5.005e-06,0.20067,-7.92305e-07
5.015e-06,0.20499,-8.13169e-07
5.025e-06,0.20499,-7.78396e-07
5.035e-06,0.20355,-8.27077e-07
5.045e-06,0.20211,-8.75758e-07
5.055e-06,0.20355,-9.1053e-07
5.065e-06,0.20139,-8.75758e-07
5.075e-06,0.20283,-9.1053e-07
5.085e-06,0.20211,-9.03576e-07
5.095e-06,0.20355,-8.75758e-07
5.105e-06,0.20211,-7.9926e-07
5.115e-06,0.20139,-7.15807e-07
5.125e-06,0.20211,-7.64488e-07
5.135e-06,0.20283,-8.06214e-07
5.145e-06,0.20355,-7.15807e-07
5.155e-06,0.20355,-6.7408e-07
5.165e-06,0.20355,-5.34992e-07
