
Time,Voltage,Current
5.085e-06,-0.996756,-1.04655e-06
5.095e-06,-0.998163,-1.11778e-06
5.105e-06,-0.998163,-1.09641e-06
5.115e-06,-0.995349,-9.46831e-07
5.125e-06,-0.996053,-8.04377e-07
5.135e-06,-0.998163,-6.61923e-07
5.145e-06,-0.993942,-7.61641e-07
5.155e-06,-0.996756,-9.25463e-07
5.165e-06,-0.998163,-9.32586e-07
5.175e-06,-1.00027,-8.47113e-07
5.185e-06,-0.998163,-7.54518e-07
5.195e-06,-0.998163,-8.18623e-07
5.205e-06,-0.993942,-8.8985e-07
5.215e-06,-0.998163,-8.8985e-07
5.225e-06,-0.996053,-8.54236e-07
5.235e-06,-0.998163,-8.68482e-07
5.245e-06,-0.998867,-9.89568e-07
5.255e-06,-0.996756,-1.09641e-06
5.265e-06,-0.996053,-1.14627e-06
5.275e-06,-1.00098,-1.25311e-06
5.285e-06,-0.998163,-1.26735e-06
5.295e-06,-0.996053,-1.31721e-06
5.305e-06,-0.999571,-1.33858e-06
5.315e-06,-0.999571,-1.42405e-06
5.325e-06,-0.996756,-1.49528e-06
5.335e-06,-0.999571,-1.48103e-06
5.345e-06,-0.996756,-1.41693e-06
5.355e-06,-0.994645,-1.26735e-06
5.365e-06,-0.99746,-1.29584e-06
5.375e-06,-0.996756,-1.32433e-06
5.385e-06,-0.99746,-1.30297e-06
5.395e-06,-0.998867,-1.1249e-06
5.405e-06,-0.996756,-1.06792e-06
5.415e-06,-0.998867,-1.01094e-06
5.425e-06,-0.998163,-9.25463e-07
5.435e-06,-0.998867,-9.11218e-07
5.445e-06,-0.998867,-8.32868e-07
5.455e-06,-0.996053,-7.61641e-07
5.465e-06,-0.998163,-5.97819e-07
5.475e-06,-0.999571,-7.40273e-07
5.485e-06,-0.996053,-9.11218e-07
5.495e-06,-0.996053,-8.61359e-07
5.505e-06,-0.995349,-8.54236e-07
5.515e-06,-0.999571,-1.02518e-06
5.525e-06,-0.996756,-9.75322e-07
5.535e-06,-0.996756,-8.39991e-07
