  Measurement Number     Measurement type
                   1            NewRelaib

      Measurement ID                 Mode
       739694.786261                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5             1.01e-05                    3             1.01e-05

           Rise time            Fall Time           Separation
               1e-07                1e-07                1e-05

              Cycles       Steps in cycle         Test voltage
                 512               100000                    1

      Step        LRS        HRS
      4371  1365.9574 95305.6651
      4394  1339.1976   1335.614
      4417  1351.0639  1339.4489
      4440  1321.2762 105975.3696
      4463  1630.5206 110213.7305
      4486  1609.8705 114217.3344
      4509  1332.0073   1322.385
      4532   1329.806 115436.5398
      4555  1340.5256 16736.0922
      4578  1342.5227 84606.9353
      4601  1351.0026   1365.022
      4624  1629.0098 94211.2069
      4647  1333.6624  1329.3676
      4670   1335.944  1339.9619
      4693   1347.437 53916.3092
      4716  1638.4407 73294.7333
      4739  1330.2397  1368.7707
      4762    1614.32  5339.8379
      4785  1642.9477 89162.2886
      4808  1637.5197 68974.1141
      4831  1362.6506  74363.836
      4854  1345.7018  1320.1202
      4877  1343.6271 73204.5234
      4900  1385.6849 126662.6606
      4923  1322.2037   1319.698
      4946  1336.7172  1332.7858
      4969  1347.5082  1344.9538
      4992  1374.1545  1400.5693
      5015  1345.1996  1352.2414
      5038  1527.0095 123935.4293
      5061  1308.7913 25342.4272
      5084  1500.8119 98529.0055
      5107  1332.8257  1422.1212
      5130  2861.1336 122741.8929
      5153  1364.4402   1360.723
      5176  1347.8212 121158.3995
      5199  1396.6829 113238.7906
      5222  2925.0129 133210.918
      5245  1396.9973 135563.9306
      5268  2389.7895 113671.6237
      5291  1372.8066  1384.5962
      5314  2865.7056 116930.5578
      5337    1321.79  1338.7454
      5360  1481.5131 108389.3855
      5383  1430.9511 107605.0183
      5406  1710.3083 112987.8293
      5429  1388.8287 109319.0554
      5452  1372.9439 95727.4807
      5475  1346.1181 100996.7598
      5498   1779.662 102226.3138
      5521  1327.9824  1316.9633
      5544  1749.6988 102182.408
      5567  1609.3223 111157.7805
      5590  1670.6672 111175.0921
      5613  1646.5787 117392.1273
      5636  1648.9906 103246.6554
      5659  1673.5738 99310.4368
      5682  1350.8184  1319.7834
      5705  1362.6064  1350.8465
      5728  1406.4339 94285.8797
      5751   1623.175 116415.6111
      5774  1605.4923 116453.5999
      5797  1615.5769 116605.8035
      5820  1677.0027 122910.9897
      5843  1552.8667 109419.6105
      5866  1921.1046 102963.6625
      5889  2930.1644  1452.0333
      5912  1482.9875 102314.2387
      5935  1422.4272 87629.7249
      5958  1414.1135 120260.1713
      5981  1898.8718 103772.0459
      6004  1631.2846 71942.7597
      6027  1337.4786  1351.6268
      6050  1810.6555  3804.2615
      6073  1717.8867 83733.4717
      6096  1360.9747  1369.3616
      6119  1890.2872  115120.02
      6142  1724.7986 74464.6931
      6165  1729.2784 44720.8101
      6188  1775.2974  47333.652
      6211  1691.4811 89745.2672
      6234    1753.74 46200.0194
      6257  1956.9539 107800.0452
      6280  1767.6252 96023.6941
      6303  1315.2573  1323.2456
      6326  1324.8839  1328.2989
      6349  1333.2164  1344.5105
      6372  1356.7861  1369.7741
      6395   1932.072  1404.0131
      6418  1802.7164 87813.0039
      6441  1735.6155 77387.4136
      6464  1380.1704 114034.8476
      6487  1656.0419 57351.8776
      6510  1701.8259 104211.4365
      6533  1394.5299 81608.0625
      6556  1401.7906 91906.2716
      6579  1402.0411 122995.7095
      6602  1361.1122 119415.1054
      6625  2240.7719 99712.7838
      6648   1425.151 115961.6768
      6671  1370.7633 116055.9556
      6694  1413.2344 118897.903
      6717  1388.7666 98311.8595
      6740   1375.521 95382.0795
      6763  1408.3933 125592.8369
      6786  1412.1467 129913.3818
      6809  1392.4812 105786.8833
      6832  2033.2852 90016.9129
      6855  2646.9672 120239.9084
      6878   1459.674 109218.6876
      6901  1867.3256 105521.0109
      6924   1858.065 133810.2902
      6947  1887.5628 134415.0886
      6970  1994.6792 110692.3198
      6993  2154.6277 116491.6166
      7016  1631.7433 109068.477
      7039  1847.8382 138644.9304
      7062  1380.4961 98760.7723
      7085  1389.6319 104731.3422
      7108  2184.3002 108110.2878
      7131  2182.0831 109789.8951
      7154  1436.0903 102933.964
      7177  1420.4456 102505.2577
      7200  1852.8076 117643.6643
      7223  1433.8343 123463.7796
      7246  2211.1306 101197.2374
      7269  2380.6151 116112.5964
      7292  1900.4594 105833.942
      7315   2366.706 105458.6456
      7338  1959.0272  96857.663
      7361  1864.4915 99518.1389
      7384  2486.7226 124302.3544
      7407  1444.2356 106275.1787
      7430  2642.9975 94849.7152
      7453  2782.8017 134617.9007
      7476  2322.0404 113998.4202
      7499  3273.3498 112436.0616
      7522  1836.7963 108143.0435
      7545  1376.1522 126125.4856
      7568   2898.771 94862.3195
      7591  2760.9495 90107.8285
      7614  1872.3661 103621.3881
      7637  1647.8599 113328.698
      7660  1404.4994 95382.0795
      7683  2515.6549 113780.3465
      7706  1517.4841 104746.7124
      7729  5669.6754 93728.7061
      7752  5069.4215 112082.9354
      7775  2557.3244 122363.1244
      7798  2685.2979 95650.5121
      7821  2688.3017 88029.6144
      7844  2765.4852 76426.1805
      7867  2542.2673 69892.6889
      7890  2979.5327 95394.8278
      7913  3676.0615 103157.1213
      7936  2252.9233 97373.0049
      7959  3158.1459 79872.8867
      7982  2329.1252 103336.3401
      8005  1826.7968 103892.8855
      8028  1778.4248 54605.1645
      8051  1369.5823 93214.5903
      8074  2439.7921 95856.0443
      8097  2493.0025 97786.5632
      8120  2031.6994 72616.1477
      8143  1430.6528 90050.9848
      8166  2643.3597 76978.4407
      8189  2704.6314 84366.9165
      8212  2294.7832 105912.4662
      8235  2260.7086 83430.0542
      8258  1910.5728 119615.2333
      8281  1421.5632 108405.8509
      8304  1431.6142 114657.6889
      8327  3163.0021 97639.4093
      8350  1427.9109 117064.8046
      8373  1553.8369 101528.3224
      8396  3245.2798 135486.7294
      8419  2851.9647 118404.7976
      8442  1455.3761 115305.9963
      8465  1440.9874 105194.4184
      8488  1564.4324 103396.2198
      8511  1998.7179 97466.0839
      8534   2215.592 113780.3465
