  Measurement Number     Measurement type
                 122            NewRelaib

      Measurement ID                 Mode
       739694.759930                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5              0.00101                    3              0.00101

           Rise time            Fall Time           Separation
               1e-05                1e-05                0.001

              Cycles       Steps in cycle         Test voltage
                 554                10000                   10

      Step        LRS        HRS
      7150  2016.9038 22155.0819
      7210  2049.2985 18321.1109
      7270  2039.3807 14620.4482
      7330  1869.8656 14496.0566
      7390  1704.9537  18375.254
      7450  1852.1023 14517.6576
      7510  2131.1859  11864.531
      7570  2024.9326 12086.8956
      7630  2042.4083 12109.5801
      7690  2008.2122 13186.7171
      7750  2141.7028  9672.0565
      7810   1982.623 11904.4875
      7870  1877.0378 11198.8072
      7930  2082.1139  9545.7473
      7990   1358.999  9468.4616
      8050  1854.1391 11548.8127
      8110  1978.7044 12862.2496
      8170  2067.7213 11828.9805
      8230  1863.2137 13774.7167
      8290  1709.3684 12463.0203
      8350  1753.4808  7124.9287
      8410  1746.2563 13323.4946
      8470  1453.1292 14414.7342
      8530  1499.1172 14142.3171
      8590  1544.8421  9954.0278
      8650  1523.1579  9383.8724
      8710  1703.3628 10372.1445
      8770  1525.4959 11309.8383
      8830  1752.3765  9866.4252
      8890  1715.9424 10783.2617
      8950  1747.5933 10367.1645
      9010  2251.7817  7122.7628
      9070  2069.9895  8961.8393
      9130  2205.4166  9784.0607
      9190  1709.8696  9256.7718
      9250  2007.4582 10717.6446
      9310  2199.3769  6761.4723
      9370   2185.258   8658.362
      9430  1718.2862 11425.8523
      9490  2065.9988 10704.8897
      9550  1671.4867  9184.0121
      9610  1643.8046  9619.0737
      9670   2178.657 11957.0393
      9730  1827.1525  9594.9956
      9790  1791.6719  8062.7753
      9850  1271.0775  9464.1528
      9910  1435.9186  8497.4978
      9970  1338.2584 12647.8903
     10030  1400.4185 14936.1475
     10090  1533.7225  8653.3529
     10150  1476.6721 12153.2958
     10210  1840.9389 10397.7473
     10270   1822.369  9446.5464
     10330  1897.2933  8595.1545
     10390   1560.977  8426.0694
     10450  1447.4199  8188.2629
     10510  1613.6482   9943.382
     10570  1826.1107 10097.3458
     10630  1877.8339 11184.9432
     10690  1582.8851  9469.6676
     10750  1875.6026  9685.1721
