
Time,Voltage,Current
8.1565e-05,-0.0412182,-0.00113631
8.1575e-05,-0.00178659,-0.00115069
8.1585e-05,0.00384651,-0.00115069
8.1595e-05,-0.003899,-0.00115069
8.1605e-05,-0.00741968,-0.00115069
8.1615e-05,-0.00812382,-0.00115069
8.1625e-05,-0.00460313,-0.00115069
8.1635e-05,-0.00249072,-0.00115069
8.1645e-05,-0.00178659,-0.00112919
8.1655e-05,-0.00460313,-0.000946337
8.1665e-05,-0.00319486,-0.000740437
8.1675e-05,-0.00178659,-0.000552789
8.1685e-05,-0.00530727,-0.000389944
8.1695e-05,-0.00319486,-0.000253734
8.1705e-05,-0.003899,-0.000144443
8.1715e-05,-0.00460313,-6.05894e-05
8.1725e-05,-0.00178659,-5.53035e-07
8.1735e-05,-0.00671554,3.84847e-05
8.1745e-05,-0.000378314,6.20201e-05
8.1755e-05,-0.003899,7.26603e-05
8.1765e-05,-0.00530727,7.17442e-05
8.1775e-05,-0.00460313,6.54024e-05
8.1785e-05,-0.00460313,5.56077e-05
8.1795e-05,-0.003899,4.20079e-05
8.1805e-05,-0.00249072,2.72102e-05
8.1815e-05,-0.00882795,1.27649e-05
8.1825e-05,-0.003899,1.41999e-06
8.1835e-05,-0.003899,-7.95188e-06
8.1845e-05,-0.00178659,-1.59144e-05
8.1855e-05,0.000325823,-2.23268e-05
8.1865e-05,-0.00319486,-2.61319e-05
8.1875e-05,-0.003899,-2.86686e-05
8.1885e-05,0.000325823,-2.96552e-05
8.1895e-05,-0.00178659,-2.95142e-05
8.1905e-05,-0.003899,-2.86686e-05
8.1915e-05,-0.00249072,-2.67661e-05
8.1925e-05,-0.00319486,-2.45817e-05
8.1935e-05,-0.00249072,-2.19745e-05
8.1945e-05,0.000325823,-1.94377e-05
8.1955e-05,0.0017341,-1.78875e-05
8.1965e-05,-0.003899,-1.56326e-05
8.1975e-05,0.000325823,-1.43642e-05
8.1985e-05,-0.00319486,-1.31663e-05
8.1995e-05,0.00102996,-1.21093e-05
8.2005e-05,-0.00460313,-1.09819e-05
8.2015e-05,-0.00178659,-1.07705e-05
8.2025e-05,-0.00108245,-1.02068e-05
8.2035e-05,-0.00108245,-1.02068e-05
8.2045e-05,-0.000378314,-9.57258e-06
8.2055e-05,-0.00108245,-8.93839e-06
8.2065e-05,-0.00108245,-8.5156e-06
8.2075e-05,-0.00249072,-8.79746e-06
8.2085e-05,-0.00178659,-9.00886e-06
8.2095e-05,0.0017341,-9.00886e-06
8.2105e-05,-0.00178659,-8.65653e-06
8.2115e-05,-0.00249072,-9.07932e-06
8.2125e-05,-0.00178659,-8.86793e-06
8.2135e-05,-0.00249072,-9.00886e-06
8.2145e-05,-0.00601141,-8.44514e-06
8.2155e-05,-0.00319486,-7.95188e-06
8.2165e-05,-0.00249072,-6.96537e-06
8.2175e-05,-0.00319486,-6.40165e-06
8.2185e-05,-0.00178659,-5.83792e-06
8.2195e-05,0.0017341,-5.90839e-06
8.2205e-05,0.000325823,-5.97885e-06
8.2215e-05,-0.00108245,-6.54258e-06
8.2225e-05,-0.000378314,-6.82444e-06
8.2235e-05,0.000325823,-7.38816e-06
8.2245e-05,-0.00108245,-7.88141e-06
8.2255e-05,-0.00178659,-7.38816e-06
8.2265e-05,-0.00249072,-7.67002e-06
8.2275e-05,-0.000378314,-7.24723e-06
