  Measurement Number     Measurement type
                   3            NewRelaib

      Measurement ID                 Mode
       739694.784178                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5             1.01e-05                    3             1.01e-05

           Rise time            Fall Time           Separation
               1e-07                1e-07                1e-05

              Cycles       Steps in cycle         Test voltage
                 502               100000                    1

      Step        LRS        HRS
     12951 24804.3129 52901.2837
     13126 25444.5153 55656.9026
     13301 24495.3019 52566.2192
     13476 25277.8056 53648.8363
     13651 24180.7819 51559.9306
     13826 25345.1273 54992.2262
     14001 24267.1048 50373.6396
     14176 25100.0173 56431.3812
     14351 25431.8218 53782.2395
     14526 24610.1689  52170.463
     14701 24381.5025 52744.9095
     14876 24460.8825 52936.5935
     15051  24588.973 53790.3474
     15226 25250.0843 58403.0878
     15401 26550.0166 55957.9868
     15576 24866.5338 54878.0644
     15751 24396.5036 50437.7153
     15926 25041.8967  54663.714
     16101 24503.7124 52041.1316
     16276 25031.3575 52826.8886
     16451 25560.2382 54207.0421
     16626 25541.9447  55839.783
     16801 24761.2873 52756.6056
     16976 24614.4128 51908.6631
     17151 25265.2778 53308.2473
     17326 25020.8272 52975.8848
     17501 24763.8655 50027.6231
     17676 25377.5673 54521.7424
     17851 24787.0848 51142.4544
     18026 25050.6859  53948.912
     18201 25820.0665 55496.7808
     18376 25719.5817 55700.3375
     18551  24332.463 49648.3114
     18726  24997.167 51961.5676
     18901 25967.5519 52535.2645
     19076 25604.2508 52327.2807
     19251 25564.8173  55119.631
     19426 25444.5153 52807.3461
     19601 25494.5033 53516.0919
     19776 24929.0678 54211.1593
     19951 26617.3453 55957.9868
     20126 25194.8216 51474.4068
     20301 24892.5509 52920.8946
     20476 25078.8505 55931.6746
     20651 25230.4463 51437.3104
     20826 25713.0948 54326.6952
     21001 25343.3256 52944.4484
     21176 24722.6906 53620.6231
     21351 26656.1136 59897.9614
     21526  25331.633 51829.5045
     21701 25332.5336 56063.4763
     21876 25738.1315  55021.903
     22051  26110.997 55622.2034
     22226 24670.5648 50688.4545
     22401 25840.6316 49790.3102
     22576 25234.9068 56994.6585
     22751 25256.3386 55363.3337
     22926 26090.9522 53280.3912
     23101  25557.493  54835.902
     23276  26492.859   52940.52
     23451 25820.0665 54268.8638
     23626 24421.5462 50941.6957
     23801 25755.7765  52737.115
     23976 25786.4854 55826.6815
     24151 26111.9532 54075.6198
     24326 25875.2938 52682.6166
     24501 20417.7731 52573.9621
     24676 26664.0816 54630.2431
     24851 25520.9403 50713.6658
     25026 24995.4165 50832.8538
     25201 24060.1425  51385.464
     25376 25206.3885 53340.1187
     25551  25382.983 54621.8801
     25726 26542.1189  57657.654
     25901 26538.1704 52400.2718
     26076 24874.3323 51615.8587
     26251 24812.9355 53368.0361
     26426 25770.6579 52181.9069
     26601  25291.241 52220.0854
     26776 24961.3252 49414.5739
     26951 25055.9623 50652.4808
     27126 24924.7133 52488.9038
     27301 25412.8065 51533.8712
     27476 25047.1677 49108.5816
     27651 24285.2708 50934.4238
     27826 25409.1894 53721.5197
     28001 25629.9945 55303.2768
     28176 25995.9242 55017.6616
     28351 25877.1695 56089.9098
     28526 25968.4967 51533.8712
     28701 25106.1991 49634.4997
     28876 25695.5078 57328.8445
     29051 25752.0609 53757.9359
     29226 25809.7962   51533.87
     29401 26029.1062 57172.7101
     29576 25719.5811  52916.971
     29751 25189.4862  54211.158
     29926 24477.6602 52373.3562
     30101 26161.7217  58446.127
     30276 25073.5658 54153.5748
     30451 25927.9307 56718.3813
     30626 26329.6482 52873.8511
     30801 25509.9944 55162.2311
     30976 25665.0166  53344.104
     31151 25165.5079 50598.6199
     31326 24935.1628 53459.9738
     31501 25612.5198  53839.038
     31676 25430.9154 53145.5027
     31851 25817.2646 57035.6491
     32026 26062.3727 53276.4141
     32201 26440.8434 56041.4663
     32376 26288.9162 54141.2512
     32551 26035.7518 55179.2909
     32726 26978.5341 52546.8665
     32901 25443.6094 54384.6473
     33076 25541.0319 52624.3529
     33251 26336.4503 56908.3173
     33426 25895.9468 52519.8027
     33601  25644.729 57163.5536
     33776 26309.2683 53786.2938
     33951 26308.2967 49707.0908
     34126 24941.2625 53504.0553
     34301 24969.1824 48261.8236
     34476 25191.2649 51957.7849
     34651 26157.8874 53475.9955
     34826 25197.4903 52647.6434
     35001 25302.8978 55187.8241
     35176 26093.8141 52628.2332
     35351 24979.6695 53185.1048
     35526  26956.119  57550.726
     35701 25574.8926 52968.0231
     35876 26044.3012 51683.1344
