  Measurement Number     Measurement type
                  12               OnLine

      Measurement ID                     
       739956.528254                     

          Force Mode                Value         MeasureRange
             Voltage                    0         1.000000e-05

    Supply Complince     Integrating time     Refresh interval
        1.000000e-04                    0                    0

        Time      Voltage      Current  Temperature
2.5500e+01   1.0003e+00   8.4000e-07             NA
2.5599e+01   1.0003e+00   8.3000e-07             NA
2.5700e+01   1.0003e+00   8.0500e-07             NA
2.5799e+01   1.0003e+00   8.5500e-07             NA
2.5900e+01   1.0003e+00   8.9500e-07             NA
2.5999e+01   1.0003e+00   8.9500e-07             NA
2.6100e+01   1.0003e+00   7.8000e-07             NA
2.6200e+01   1.0003e+00   7.9000e-07             NA
2.6299e+01   1.0003e+00   7.8000e-07             NA
2.6399e+01   1.0003e+00   8.0500e-07             NA
2.6500e+01   1.0003e+00   8.7500e-07             NA
2.6599e+01   1.0003e+00   7.8500e-07             NA
2.6700e+01   1.0003e+00   7.8500e-07             NA
2.6800e+01   1.0003e+00   7.7000e-07             NA
2.6899e+01   1.0003e+00   7.9500e-07             NA
2.6999e+01   1.0003e+00   8.4000e-07             NA
2.7100e+01   1.0003e+00   8.2500e-07             NA
2.7199e+01   1.0003e+00   8.3000e-07             NA
2.7300e+01   1.0003e+00   8.0000e-07             NA
2.7401e+01   1.0003e+00   7.9000e-07             NA
2.7500e+01   1.0003e+00   8.1000e-07             NA
2.7599e+01   1.0003e+00   8.2500e-07             NA
2.7700e+01   1.0003e+00   8.0500e-07             NA
2.7799e+01   1.0003e+00   8.1000e-07             NA
2.7900e+01   1.0003e+00   8.0500e-07             NA
2.8000e+01   1.0003e+00   7.9000e-07             NA
2.8100e+01   1.0003e+00   8.0500e-07             NA
2.8199e+01   1.0003e+00   7.9500e-07             NA
2.8300e+01   1.0003e+00   8.0000e-07             NA
2.8399e+01   1.0003e+00   8.0500e-07             NA
2.8500e+01   1.0003e+00   7.8500e-07             NA
2.8600e+01   1.0003e+00   8.0000e-07             NA
2.8700e+01   1.0003e+00   7.8500e-07             NA
2.8799e+01   1.0003e+00   8.0500e-07             NA
2.8900e+01   1.0002e+00   8.2500e-07             NA
2.8999e+01   1.0003e+00   8.0500e-07             NA
2.9099e+01   1.0003e+00   7.9500e-07             NA
2.9200e+01   1.0003e+00   7.7500e-07             NA
2.9299e+01   1.0003e+00   7.7000e-07             NA
2.9400e+01   1.0003e+00   8.3500e-07             NA
2.9500e+01   1.0003e+00   8.1000e-07             NA
2.9600e+01   1.0003e+00   8.0500e-07             NA
2.9700e+01   1.0003e+00   8.0500e-07             NA
2.9800e+01   1.0003e+00   8.1000e-07             NA
2.9899e+01   1.0003e+00   7.7500e-07             NA
3.0000e+01   1.0003e+00   7.9000e-07             NA
3.0100e+01   1.0003e+00   8.1000e-07             NA
3.0199e+01   1.0003e+00   7.9000e-07             NA
3.0300e+01   1.0003e+00   7.9000e-07             NA
3.0399e+01   1.0003e+00   8.0500e-07             NA
3.0499e+01   1.0003e+00   7.7000e-07             NA
3.0599e+01   1.0003e+00   7.9000e-07             NA
3.0699e+01   1.0003e+00   8.0500e-07             NA
3.0800e+01   1.0003e+00   8.0500e-07             NA
3.0900e+01   1.0003e+00   8.3500e-07             NA
3.0999e+01   1.0003e+00   8.3000e-07             NA
3.1100e+01   1.0003e+00   8.0500e-07             NA
3.1200e+01   1.0003e+00   8.1500e-07             NA
3.1299e+01   1.0003e+00   8.2500e-07             NA
3.1400e+01   1.0003e+00   7.9000e-07             NA
