Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,2.050,2.050,-0.500,-0.500,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.800,-1.800,-0.500,-0.500,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,2.0

Time,Voltage,Current
7.91e-06,-0.511461,0.000353247
7.93e-06,-0.509301,0.000354092
7.95e-06,-0.508941,0.000354479
7.97e-06,-0.510741,0.00035374
7.99e-06,-0.511101,0.00035381
8.01e-06,-0.511101,0.000354479
8.03e-06,-0.511821,0.000354374
8.05e-06,-0.510021,0.000352825
8.07e-06,-0.512181,0.000351593
8.09e-06,-0.512541,0.00035198
8.11e-06,-0.510021,0.000352226
8.13e-06,-0.510021,0.000353177
8.15e-06,-0.509301,0.000354127
8.17e-06,-0.509301,0.000354866
8.19e-06,-0.511461,0.00035469
8.21e-06,-0.511101,0.000354268
8.23e-06,-0.510381,0.000354162
8.25e-06,-0.508941,0.000354479
8.27e-06,-0.511461,0.000354092
8.29e-06,-0.511101,0.000353881
8.31e-06,-0.509661,0.000353318
8.33e-06,-0.512541,0.000353282
8.35e-06,-0.510381,0.000353071
8.37e-06,-0.508581,0.000353106
8.39e-06,-0.510021,0.000353916
8.41e-06,-0.509301,0.000353846
8.43e-06,-0.512181,0.000354198
8.45e-06,-0.510381,0.000353634
8.47e-06,-0.512181,0.000353881
8.49e-06,-0.509301,0.000353423
8.51e-06,-0.510741,0.00035286
8.53e-06,-0.511101,0.000352649
8.55e-06,-0.509301,0.000352578
8.57e-06,-0.509661,0.000352895
8.59e-06,-0.511821,0.000352895
8.61e-06,-0.510021,0.000351522
8.63e-06,-0.5075,0.000351945
8.65e-06,-0.510381,0.00035286
8.67e-06,-0.511461,0.000352508
8.69e-06,-0.508941,0.000351346
8.71e-06,-0.510741,0.000351698
8.73e-06,-0.510741,0.000352508
8.75e-06,-0.510021,0.000352191
8.77e-06,-0.511821,0.000354092
8.79e-06,-0.508221,0.000352825
8.81e-06,-0.510741,0.000351874
8.83e-06,-0.512541,0.000353705
8.85e-06,-0.510381,0.000351135
8.87e-06,-0.510021,0.000350818
8.89e-06,-0.509661,0.000352473
8.91e-06,-0.511101,0.000352191
8.93e-06,-0.509301,0.000351663
8.95e-06,-0.511101,0.000352121
8.97e-06,-0.511821,0.000351733
8.99e-06,-0.511821,0.000352297
9.01e-06,-0.510741,0.000352121
9.03e-06,-0.510021,0.00035279
9.05e-06,-0.510381,0.000353599
9.07e-06,-0.509661,0.00035205
9.09e-06,-0.510381,0.000351381
9.11e-06,-0.513621,0.000352543
9.13e-06,-0.511821,0.000352156
9.15e-06,-0.511101,0.000352649
9.17e-06,-0.511101,0.000352614
9.19e-06,-0.511101,0.000351769
9.21e-06,-0.511101,0.000351839
9.23e-06,-0.509661,0.000351381
9.25e-06,-0.509301,0.000351311
9.27e-06,-0.511101,0.000351804
9.29e-06,-0.510741,0.000352226
9.31e-06,-0.509661,0.000351346
9.33e-06,-0.510381,0.000352297
9.35e-06,-0.512181,0.000353951
9.37e-06,-0.511821,0.000352297
9.39e-06,-0.510381,0.000351839
9.41e-06,-0.510021,0.00035286
9.43e-06,-0.510741,0.0003511
9.45e-06,-0.510021,0.000351241
9.47e-06,-0.511821,0.000352719
